user_id,login_time,session_duration,files_accessed,files_deleted,files_copied,copy_rate,delete_rate,access_rate,activity_rate,is_idle,label
U6,12,45,12,2,3,0.07,0.04,0.27,0.38,0,0
U3,10,40,15,2,8,0.2,0.05,0.38,0.62,0,0
U4,16,2,30,8,17,8.5,4.0,15.0,27.5,0,1
U1,14,11,52,16,33,3.0,1.45,4.73,9.18,0,1
U3,17,92,12,1,3,0.03,0.01,0.13,0.17,0,0
U1,15,37,11,1,5,0.14,0.03,0.3,0.46,0,0
U9,11,10,59,27,60,6.0,2.7,5.9,14.6,0,1
U6,10,110,11,1,2,0.02,0.01,0.1,0.13,0,0
U5,15,44,6,0,1,0.02,0.0,0.14,0.16,0,0
U3,13,87,8,1,6,0.07,0.01,0.09,0.17,0,0
U7,10,117,10,1,3,0.03,0.01,0.09,0.12,0,0
U6,15,65,5,2,6,0.09,0.03,0.08,0.2,0,0
U9,11,17,115,17,51,3.0,1.0,6.76,10.76,0,1
U5,17,62,8,2,2,0.03,0.03,0.13,0.19,0,0
U6,9,108,6,0,7,0.06,0.0,0.06,0.12,0,0
U9,12,5,36,14,14,2.8,2.8,7.2,12.8,0,1
U7,9,42,8,1,4,0.1,0.02,0.19,0.31,0,0
U8,14,86,7,0,2,0.02,0.0,0.08,0.1,0,0
U10,4,31,32,7,18,0.58,0.23,1.03,1.84,0,1
U7,9,94,14,2,4,0.04,0.02,0.15,0.21,0,0
U6,10,99,12,2,2,0.02,0.02,0.12,0.16,0,0
U4,15,63,6,1,1,0.02,0.02,0.1,0.13,0,0
U9,14,103,12,2,4,0.04,0.02,0.12,0.17,0,0
U2,10,73,14,2,5,0.07,0.03,0.19,0.29,0,0
U3,10,79,5,2,4,0.05,0.03,0.06,0.14,0,0
U5,17,2,23,12,23,11.5,6.0,11.5,29.0,0,1
U5,16,96,5,0,3,0.03,0.0,0.05,0.08,0,0
U2,16,54,15,0,8,0.15,0.0,0.28,0.43,0,0
U2,15,84,12,2,2,0.02,0.02,0.14,0.19,0,0
U10,10,103,10,0,4,0.04,0.0,0.1,0.14,0,0
U10,15,4,41,6,21,5.25,1.5,10.25,17.0,0,1
U5,14,96,0,0,0,0.0,0.0,0.0,0.0,1,1
U3,14,57,13,0,3,0.05,0.0,0.23,0.28,0,0
U10,14,62,9,2,1,0.02,0.03,0.15,0.19,0,0
U8,16,107,5,1,6,0.06,0.01,0.05,0.11,0,0
U2,13,77,6,1,7,0.09,0.01,0.08,0.18,0,0
U6,10,79,13,2,4,0.05,0.03,0.16,0.24,0,0
U3,16,1,44,9,18,18.0,9.0,44.0,71.0,0,1
U10,17,92,12,0,7,0.08,0.0,0.13,0.21,0,0
U1,9,1,23,13,24,24.0,13.0,23.0,60.0,0,1
U6,9,57,8,1,6,0.11,0.02,0.14,0.26,0,0
U8,10,64,7,0,1,0.02,0.0,0.11,0.12,0,0
U3,17,11,85,28,53,4.82,2.55,7.73,15.09,0,1
U1,14,75,14,0,6,0.08,0.0,0.19,0.27,0,0
U5,16,82,11,0,2,0.02,0.0,0.13,0.16,0,0
U9,17,100,15,1,4,0.04,0.01,0.15,0.2,0,0
U1,14,176,0,0,0,0.0,0.0,0.0,0.0,1,1
U5,9,103,13,2,2,0.02,0.02,0.13,0.17,0,0
U2,2,33,38,9,20,0.61,0.27,1.15,2.03,0,1
U4,12,95,15,0,3,0.03,0.0,0.16,0.19,0,0
U7,11,53,10,2,2,0.04,0.04,0.19,0.26,0,0
U7,12,87,7,0,5,0.06,0.0,0.08,0.14,0,0
U9,9,39,11,1,3,0.08,0.03,0.28,0.38,0,0
U5,14,84,0,0,0,0.0,0.0,0.0,0.0,1,1
U3,10,76,14,2,6,0.08,0.03,0.18,0.29,0,0
U7,14,110,14,1,6,0.05,0.01,0.13,0.19,0,0
U8,17,108,14,0,8,0.07,0.0,0.13,0.2,0,0
U2,1,27,25,10,12,0.44,0.37,0.93,1.74,0,1
U4,12,81,11,0,4,0.05,0.0,0.14,0.19,0,0
U8,17,86,0,0,0,0.0,0.0,0.0,0.0,1,1
U1,14,6,87,24,35,5.83,4.0,14.5,24.33,0,1
U9,13,133,0,0,0,0.0,0.0,0.0,0.0,1,1
U5,3,15,20,10,8,0.53,0.67,1.33,2.53,0,1
U9,14,47,13,1,5,0.11,0.02,0.28,0.4,0,0
U7,17,12,102,10,38,3.17,0.83,8.5,12.5,0,1
U2,14,89,13,1,2,0.02,0.01,0.15,0.18,0,0
U1,12,41,15,0,8,0.2,0.0,0.37,0.56,0,0
U5,12,105,14,2,5,0.05,0.02,0.13,0.2,0,0
U2,15,46,6,0,6,0.13,0.0,0.13,0.26,0,0
U8,14,93,12,2,4,0.04,0.02,0.13,0.19,0,0
U6,16,51,14,2,6,0.12,0.04,0.27,0.43,0,0
U3,17,45,11,2,6,0.13,0.04,0.24,0.42,0,0
U3,17,62,8,1,1,0.02,0.02,0.13,0.16,0,0
U3,10,51,6,0,8,0.16,0.0,0.12,0.27,0,0
U2,9,72,0,0,0,0.0,0.0,0.0,0.0,1,1
U10,12,61,9,1,3,0.05,0.02,0.15,0.21,0,0
U9,17,16,72,10,25,1.56,0.62,4.5,6.69,0,1
U2,15,91,5,2,7,0.08,0.02,0.05,0.15,0,0
U2,11,73,14,1,4,0.05,0.01,0.19,0.26,0,0
U8,3,55,38,5,13,0.24,0.09,0.69,1.02,0,1
U4,17,64,8,0,4,0.06,0.0,0.12,0.19,0,0
U7,11,84,12,2,5,0.06,0.02,0.14,0.23,0,0
U3,13,116,7,1,2,0.02,0.01,0.06,0.09,0,0
U10,9,103,13,0,2,0.02,0.0,0.13,0.15,0,0
U6,15,119,9,2,4,0.03,0.02,0.08,0.13,0,0
U10,16,61,15,1,3,0.05,0.02,0.25,0.31,0,0
U5,14,2,33,10,21,10.5,5.0,16.5,32.0,0,1
U4,18,86,6,0,1,0.01,0.0,0.07,0.08,0,0
U10,12,69,5,2,2,0.03,0.03,0.07,0.13,0,0
U7,16,144,0,0,0,0.0,0.0,0.0,0.0,1,1
U9,14,47,10,0,1,0.02,0.0,0.21,0.23,0,0
U6,14,92,9,2,1,0.01,0.02,0.1,0.13,0,0
U4,18,111,5,1,6,0.05,0.01,0.05,0.11,0,0
U10,15,119,0,0,0,0.0,0.0,0.0,0.0,1,1
U8,14,106,7,2,7,0.07,0.02,0.07,0.15,0,0
U1,13,117,6,2,8,0.07,0.02,0.05,0.14,0,0
U8,13,53,7,2,6,0.11,0.04,0.13,0.28,0,0
U5,12,68,14,1,7,0.1,0.01,0.21,0.32,0,0
U2,18,70,14,1,5,0.07,0.01,0.2,0.29,0,0
U10,12,66,14,1,8,0.12,0.02,0.21,0.35,0,0
U8,3,31,29,2,20,0.65,0.06,0.94,1.65,0,1
U9,18,99,14,0,7,0.07,0.0,0.14,0.21,0,0
U4,15,92,9,2,3,0.03,0.02,0.1,0.15,0,0
U8,10,13,109,10,28,2.15,0.77,8.38,11.31,0,1
U5,12,100,0,0,0,0.0,0.0,0.0,0.0,1,1
U1,12,102,12,2,2,0.02,0.02,0.12,0.16,0,0
U1,9,106,5,1,5,0.05,0.01,0.05,0.1,0,0
U5,15,75,13,2,2,0.03,0.03,0.17,0.23,0,0
U4,5,29,19,8,22,0.76,0.28,0.66,1.69,0,1
U1,14,87,7,1,5,0.06,0.01,0.08,0.15,0,0
U1,12,94,6,0,4,0.04,0.0,0.06,0.11,0,0
U3,14,56,11,2,4,0.07,0.04,0.2,0.3,0,0
U5,16,94,10,2,5,0.05,0.02,0.11,0.18,0,0
U1,14,58,7,2,3,0.05,0.03,0.12,0.21,0,0
U5,16,45,11,1,8,0.18,0.02,0.24,0.44,0,0
U10,10,86,13,0,2,0.02,0.0,0.15,0.17,0,0
U7,18,51,8,2,7,0.14,0.04,0.16,0.33,0,0
U5,12,62,13,2,2,0.03,0.03,0.21,0.27,0,0
U5,11,50,14,1,3,0.06,0.02,0.28,0.36,0,0
U1,17,89,11,1,6,0.07,0.01,0.12,0.2,0,0
U5,18,53,7,2,3,0.06,0.04,0.13,0.23,0,0
U3,9,39,6,1,1,0.03,0.03,0.15,0.21,0,0
U4,16,100,9,0,5,0.05,0.0,0.09,0.14,0,0
U10,10,51,5,1,5,0.1,0.02,0.1,0.22,0,0
U6,9,5,39,13,16,3.2,2.6,7.8,13.6,0,1
U1,9,63,10,1,7,0.11,0.02,0.16,0.29,0,0
U5,15,61,11,1,4,0.07,0.02,0.18,0.26,0,0
U5,10,76,11,1,1,0.01,0.01,0.14,0.17,0,0
U1,9,162,0,0,0,0.0,0.0,0.0,0.0,1,1
U3,15,57,10,2,8,0.14,0.04,0.18,0.35,0,0
U1,14,68,9,1,8,0.12,0.01,0.13,0.26,0,0
U6,9,103,9,0,1,0.01,0.0,0.09,0.1,0,0
U7,11,78,15,0,3,0.04,0.0,0.19,0.23,0,0
U1,9,104,11,2,1,0.01,0.02,0.11,0.13,0,0
U8,18,47,6,2,1,0.02,0.04,0.13,0.19,0,0
U8,11,53,7,1,7,0.13,0.02,0.13,0.28,0,0
U4,15,31,8,0,3,0.1,0.0,0.26,0.35,0,0
U10,15,89,15,1,4,0.04,0.01,0.17,0.22,0,0
U5,13,77,13,0,1,0.01,0.0,0.17,0.18,0,0
U1,10,95,5,1,5,0.05,0.01,0.05,0.12,0,0
U9,11,43,5,2,7,0.16,0.05,0.12,0.33,0,0
U10,14,72,7,0,8,0.11,0.0,0.1,0.21,0,0
U10,18,67,13,0,1,0.01,0.0,0.19,0.21,0,0
U7,13,68,0,0,0,0.0,0.0,0.0,0.0,1,1
U9,14,70,14,2,2,0.03,0.03,0.2,0.26,0,0
U9,16,109,5,0,6,0.06,0.0,0.05,0.1,0,0
U5,11,110,12,0,2,0.02,0.0,0.11,0.13,0,0
U7,12,117,11,1,2,0.02,0.01,0.09,0.12,0,0
U10,16,73,7,0,8,0.11,0.0,0.1,0.21,0,0
U9,11,112,8,2,7,0.06,0.02,0.07,0.15,0,0
U6,12,107,8,0,2,0.02,0.0,0.07,0.09,0,0
U5,14,94,13,1,1,0.01,0.01,0.14,0.16,0,0
U1,13,99,9,0,5,0.05,0.0,0.09,0.14,0,0
U4,13,52,15,2,8,0.15,0.04,0.29,0.48,0,0
U9,9,43,7,1,8,0.19,0.02,0.16,0.37,0,0
U7,9,58,7,1,8,0.14,0.02,0.12,0.28,0,0
U8,14,33,8,0,5,0.15,0.0,0.24,0.39,0,0
U9,18,108,13,0,6,0.06,0.0,0.12,0.18,0,0
U9,9,49,6,0,4,0.08,0.0,0.12,0.2,0,0
U1,11,99,7,2,7,0.07,0.02,0.07,0.16,0,0
U7,14,37,12,1,2,0.05,0.03,0.32,0.41,0,0
U7,10,98,14,1,7,0.07,0.01,0.14,0.22,0,0
U3,11,50,9,0,5,0.1,0.0,0.18,0.28,0,0
U1,0,17,27,4,18,1.06,0.24,1.59,2.88,0,1
U3,16,46,9,1,6,0.13,0.02,0.2,0.35,0,0
U3,18,84,15,0,4,0.05,0.0,0.18,0.23,0,0
U7,15,101,9,1,3,0.03,0.01,0.09,0.13,0,0
U10,14,103,9,2,4,0.04,0.02,0.09,0.15,0,0
U6,15,5,36,5,23,4.6,1.0,7.2,12.8,0,1
U3,16,71,7,0,3,0.04,0.0,0.1,0.14,0,0
U3,14,104,5,1,8,0.08,0.01,0.05,0.13,0,0
U8,10,54,6,0,1,0.02,0.0,0.11,0.13,0,0
U8,4,52,27,7,12,0.23,0.13,0.52,0.88,0,1
U10,17,117,12,2,2,0.02,0.02,0.1,0.14,0,0
U1,16,116,5,1,7,0.06,0.01,0.04,0.11,0,0
U1,15,5,43,8,27,5.4,1.6,8.6,15.6,0,1
U1,14,50,9,0,4,0.08,0.0,0.18,0.26,0,0
U6,14,87,15,1,4,0.05,0.01,0.17,0.23,0,0
U2,16,108,11,1,4,0.04,0.01,0.1,0.15,0,0
U8,12,109,9,0,2,0.02,0.0,0.08,0.1,0,0
U10,18,97,12,1,2,0.02,0.01,0.12,0.15,0,0
U8,11,59,14,1,3,0.05,0.02,0.24,0.31,0,0
U9,10,60,14,0,1,0.02,0.0,0.23,0.25,0,0
U5,11,97,15,2,2,0.02,0.02,0.15,0.2,0,0
U5,11,62,14,1,4,0.06,0.02,0.23,0.31,0,0
U8,11,16,50,30,38,2.38,1.88,3.12,7.38,0,1
U5,5,17,38,5,14,0.82,0.29,2.24,3.35,0,1
U6,11,46,14,2,4,0.09,0.04,0.3,0.43,0,0
U9,9,50,7,1,5,0.1,0.02,0.14,0.26,0,0
U1,16,66,12,1,2,0.03,0.02,0.18,0.23,0,0
U2,9,91,11,1,8,0.09,0.01,0.12,0.22,0,0
U3,9,68,7,1,6,0.09,0.01,0.1,0.21,0,0
U8,10,117,14,2,8,0.07,0.02,0.12,0.21,0,0
U1,17,113,9,2,7,0.06,0.02,0.08,0.16,0,0
U5,15,107,7,1,8,0.07,0.01,0.07,0.15,0,0
U1,10,11,73,10,35,3.18,0.91,6.64,10.73,0,1
U6,9,48,9,0,1,0.02,0.0,0.19,0.21,0,0
U1,9,76,8,0,3,0.04,0.0,0.11,0.14,0,0
U9,17,92,14,0,2,0.02,0.0,0.15,0.17,0,0
U2,17,74,12,1,3,0.04,0.01,0.16,0.22,0,0
U4,15,2,47,12,15,7.5,6.0,23.5,37.0,0,1
U4,17,77,7,0,5,0.06,0.0,0.09,0.16,0,0
U5,10,8,72,24,38,4.75,3.0,9.0,16.75,0,1
U9,11,52,8,0,5,0.1,0.0,0.15,0.25,0,0
U3,10,75,12,0,5,0.07,0.0,0.16,0.23,0,0
U6,10,100,12,1,6,0.06,0.01,0.12,0.19,0,0
U6,11,119,15,0,6,0.05,0.0,0.13,0.18,0,0
